ax,ay,az,gx,gy,gz
-16580,128,-644,-7060,7332,-5995
-15676,24,-564,-7074,9313,-4263
-16684,24,-448,-7445,5314,-3939
-20292,336,-876,-8064,8460,2908
-13968,100,-600,-7988,885,2069
-16132,280,-676,-7740,-6882,-4829
-19424,372,-860,-7559,-5365,-8172
-19960,244,-604,-7353,-1466,-8836
-18004,180,-620,-7260,-484,-9227
-15368,100,-524,-7217,-3090,-9218
-11528,8272,1248,-22200,7696,-927
-15168,1356,-5516,-32767,-9609,-21509
-15092,440,-5404,-32767,10416,-20284
-11228,156,-5304,-32767,16413,-6865
-11944,572,-5020,-32767,869,-1349
-19300,1220,-5932,-32767,-12870,-8932
-20392,896,-5520,-32767,-2836,-15914
-14056,292,-5368,-32767,13862,-6888
-10916,508,-4912,-32767,-3288,10625
-21472,1200,-6276,-32767,-19339,-1234
-24384,896,-5812,-32767,-282,-4558
-22204,-60,-5836,-32767,9375,-11840
-13776,4504,-7304,-32767,29105,21434
-14068,14056,-5364,-32767,-32767,18559
-15448,488,220,-32767,-9076,-29439
-25028,792,-548,-4928,1537,-8428
-17952,-236,-1184,-59,4494,-6172
-18000,1064,-812,6073,-2148,-4331
-15776,416,-872,4691,1507,951
-16172,96,-984,951,-1104,3243
-15524,244,-476,655,4824,4429
-15180,56,-584,581,-8774,-459
-16428,64,-896,-1853,-8380,-11100
-17164,-1424,80,-9823,-675,5096
-14932,492,1512,-346,-1712,-628
-18860,2920,2976,4074,2731,2070
-19412,4400,3388,3751,-9582,22317
-11288,4564,4180,3686,-4801,4018
-12268,7040,6760,1728,-964,-3593
-12552,8324,6748,-1006,-1430,-854
-15016,11448,11296,-3783,-4032,2616
-12912,10956,9700,-552,-8229,5109
-6880,9552,10524,-9838,-8993,5432
-5856,9588,14324,-1036,-8941,6294
-4152,3692,11956,-9844,9198,10474
452,128,17536,-10893,-16129,7251
592,68,14820,2285,-9250,16470
4156,-1104,17660,-4691,-5279,7750
4860,-2916,15176,-6249,3307,2445
4908,-5584,15008,9340,-712,929
3556,-1608,14324,4040,2915,745
3220,976,15988,6324,4777,-1436
1080,5948,15348,-7987,-2156,-23493
-1880,1724,14820,3217,933,-11376
1784,3052,16248,-3034,-132,-9458
44,5624,14836,-3772,-2646,-5745
2980,4144,16284,566,-1078,-3310
1976,4800,15104,2559,636,-3219
2472,3836,15704,-576,-2178,-1638
ax,ay,az,gx,gy,gz
1244,15320,-4928,-112,-6521,3050
-1736,13972,-9792,-5779,-3257,2961
-644,15660,-2032,-4214,5296,1566
-308,15180,-340,-2430,756,2868
-856,18672,132,-680,-6533,-9177
-500,15188,-4184,-193,-2063,5400
-1064,14392,1372,3921,-6919,2633
3268,16624,-3352,3420,2042,-2425
3212,18416,-3096,-2047,-447,-1159
1988,13568,-2368,-3424,-2176,-222
2276,9556,2776,-10009,11839,-3671
-492,14252,936,9264,3459,-9604
-332,15244,-3332,8136,1736,1443
-2960,17724,2892,-8753,-2485,1480
304,17164,2416,921,1264,3311
-544,16120,3088,-8268,1091,503
1788,17576,3244,-3031,6498,993
2732,17664,2620,432,6480,-448
2540,14592,2848,5091,7936,2446
1680,13084,2884,-307,13182,5788
708,15688,2416,-5156,1185,2846
1424,16696,3012,-305,-120,2306
1588,15364,3204,999,-753,-765
1744,14844,3112,-1382,-505,-2082
2092,15760,2772,-1078,-943,-1798
2244,16188,3004,1291,-1880,-292
1916,15260,3172,744,-2240,373
1756,15184,3104,-2022,-2072,30
1832,16092,2760,-1857,-2382,-102
1784,16384,2820,688,-3121,-186
1668,15608,3080,634,-3246,-1078
1764,15304,3184,-1841,-3050,-1972
2116,15912,2872,-1848,-3455,-1368
2116,15864,2876,314,-4374,87
1856,15104,3116,30,-4781,584
1812,15348,3200,-2539,-4594,50
1928,16120,2844,-2703,-4820,-244
1880,16340,2772,-308,-5445,-533
2516,17080,2820,851,3763,-2356
2936,15976,2680,3032,11165,280
2140,14564,3116,1579,8942,3189
1784,14772,3012,-1679,8113,4126
1788,16596,2804,-1010,6428,3378
1772,17120,2876,2216,5608,2728
1876,17092,4580,-803,1204,1017
1356,16404,2420,-1512,-5443,-840
