ax,ay,az,gx,gy,gz
-1980,-29,-638,-34,-10,1
-1990,-32,-630,-38,-2,1
-1985,-37,-633,-38,-10,-1
-1988,-34,-637,-36,-6,1
-1981,-30,-627,-37,-3,-2
-1994,-26,-646,-36,-9,0
-1985,-27,-630,-33,-7,-4
-1994,-33,-629,-36,-9,-2
-1988,-27,-635,-36,-2,-1
-1984,-41,-637,-37,1,-3
-1985,-33,-650,-33,-12,1
-1998,-35,-643,-33,-3,0
-1991,-29,-651,-28,-11,-5
-1985,-33,-634,-37,-5,-4
-1982,-25,-639,-34,-11,0
-1991,-30,-637,-34,-10,-2
-1972,-33,-641,-37,-14,-1
-1990,-26,-646,-38,-1,2
-1981,-40,-649,-38,-11,0
-1998,-41,-637,-34,-8,-2
-1988,-28,-640,-36,-5,-4
-1990,-35,-647,-35,-12,0
-1992,-26,-646,-36,-6,-3
-1982,-27,-647,-32,-8,-2
-2000,-27,-637,-37,-5,2
-1985,-31,-637,-36,-14,2
-1988,-40,-643,-35,-2,-3
-1992,-37,-654,-39,-8,0
-1995,-49,-623,-33,-2,-2
-1987,-29,-652,-34,-12,-1
-1994,-45,-639,-40,-6,1
-1991,-36,-641,-33,-10,-2
-1982,-37,-630,-35,-10,-3
-1985,-25,-636,-36,-3,-2
-1986,-26,-651,-38,-8,-2
-1987,-33,-624,-35,-4,-2
-1989,-35,-649,-34,-11,-9
-1996,-38,-631,-37,-3,0
-1982,-28,-640,-37,-6,0
-1996,-34,-641,-33,-11,1
-1986,-37,-638,-30,-6,-1
-1986,-31,-628,-39,0,-7
-1986,-37,-645,-35,-7,-1
-1984,-37,-647,-34,-7,4
-1991,-37,-639,-36,-5,-1
-1989,-26,-636,-35,-8,-5
-1989,-41,-631,-38,-1,-2
-1987,-26,-637,-34,-10,3
-1980,-30,-630,-34,-6,3
-1980,-34,-640,-38,-4,1
-1990,-32,-645,-37,-6,-1
-1995,-36,-642,-35,-9,-2
-1992,-36,-633,-38,-7,0
-2001,-27,-646,-33,-8,0
-1983,-27,-655,-33,-4,-1
-1992,-35,-641,-36,-8,-2
-1977,-29,-644,-35,-7,-2
-2002,-33,-648,-33,-6,-4
-1983,-24,-648,-35,-7,-4
-1994,-39,-635,-38,-3,0
-1990,-36,-638,-36,-12,-2
-1983,-27,-633,-33,-5,-1
-1989,-36,-629,-35,-5,0
-1997,-28,-639,-35,-6,-2
-1987,-23,-643,-35,-8,-1
-1985,-31,-644,-33,-5,-2
-1990,-36,-634,-35,-5,-1
-1982,-23,-641,-33,-6,-1
-1993,-33,-637,-35,-10,-4
-1978,-25,-643,-37,-4,-6
-1975,-28,-636,-38,-9,1
-1984,-28,-649,-32,-1,0
-1985,-38,-627,-35,-5,-3
-1985,-30,-655,-36,-2,-4
-2004,-29,-638,-34,-11,1
-1996,-25,-639,-34,-5,1
-1986,-25,-658,-35,-7,-7
-1989,-32,-638,-33,-4,-3
-1998,-38,-639,-38,-3,-5
-2004,-39,-631,-34,-5,-2
-1986,-31,-634,-35,-11,0
-1982,-32,-634,-34,-11,-1
-1984,-29,-629,-35,-4,-4
-1983,-31,-636,-34,-6,-7
-1991,-22,-622,-33,-7,1
-1986,-32,-641,-35,-9,-3
-1981,-32,-639,-36,-6,-1
-1979,-37,-634,-33,-10,3
-2002,-34,-626,-34,-7,0
-1987,-30,-637,-38,-6,0
-1990,-30,-637,-37,-11,-4
-1981,-28,-635,-38,-4,-5
-1998,-27,-631,-35,-5,-2
-1990,-35,-643,-39,-11,0
-1984,-32,-638,-40,-6,-3
-1979,-23,-637,-34,-5,-3
-1985,-31,-637,-36,-5,-7
-1981,-29,-632,-32,-13,-5
-1992,-42,-627,-36,-5,-3
-1996,-32,-629,-36,-10,-3
-1997,-30,-633,-37,-11,-6
-1985,-45,-627,-35,-12,-1
-1992,-37,-647,-37,-7,-3
-1995,-31,-651,-34,-6,-3
-1985,-20,-642,-36,-8,-1
-1987,-18,-646,-37,-11,-2
-1994,-35,-647,-34,-6,3
-2002,-26,-646,-35,-4,-1
-1985,-31,-633,-33,-15,1
-1989,-33,-638,-32,-2,-5
-1979,-37,-649,-34,-9,-4
-1983,-38,-639,-36,-7,-4
-1988,-33,-639,-34,-12,-1
-1992,-33,-647,-35,-6,-2
-1988,-30,-642,-36,-5,-2
-1993,-31,-649,-34,-7,-3
-1989,-36,-642,-36,-2,1
-1989,-22,-637,-33,-9,-1
-1993,-30,-638,-34,-6,-1
-1978,-25,-625,-36,-7,-2
-1981,-38,-652,-34,-4,-4
-1989,-28,-639,-32,0,-1
-1976,-32,-642,-35,-5,-1
-1989,-34,-636,-34,-5,1
-1999,-36,-634,-34,-10,-4
-1986,-21,-649,-34,-10,-3
-1998,-43,-640,-38,-3,0
-1989,-39,-648,-34,-13,-2
-1987,-36,-638,-39,-5,1
-1992,-39,-643,-37,-14,-2
-1990,-28,-640,-37,-10,-1
-2001,-29,-644,-33,-9,1
-1999,-31,-626,-35,-6,-6
-1987,-30,-642,-36,-3,-3
-1985,-20,-641,-36,-15,-5
-1987,-32,-636,-37,-3,0
-1994,-35,-633,-34,-9,-3
-1973,-31,-637,-32,-9,-6
-1994,-35,-642,-35,-4,-2
-1995,-28,-638,-35,-5,1
-1989,-29,-643,-36,-3,-3
-1996,-26,-641,-33,-9,-1
-1980,-25,-636,-37,-5,-1
-1997,-33,-640,-32,-5,3
-1985,-43,-645,-31,-5,-5
-1988,-40,-622,-33,-12,1
-1999,-34,-637,-37,-4,-2
-1986,-31,-639,-32,-14,-3
-1978,-30,-642,-33,-2,-1
-1990,-37,-645,-34,-4,-3
-1985,-38,-650,-37,-11,-3
-1981,-30,-645,-37,-8,-3
-1987,-38,-644,-34,-6,-3
-1999,-36,-635,-35,-10,1
-1987,-34,-638,-38,-8,-2
-1997,-29,-652,-40,-3,-4
-1988,-35,-633,-31,-6,-4
